lng,lat
128.915421,37.760162
128.882656,37.763953
128.884715,37.768217
128.878627,37.763037
128.8762317,37.76194012
128.937886,37.775852
128.9384675,37.77563414
128.913367,37.785063
128.883754,37.753222
128.841815,37.869552
128.841861,37.868588
128.920665,37.755679
128.879309,37.743966
128.895312,37.770633
128.934082,37.778441
128.915201,37.782842
128.881501,37.750797
128.918713,37.753829
128.818392,37.903613
128.840294,37.870735
128.892069,37.746375
128.90348,37.751622
128.887884,37.76626539
128.8897851,37.76676821
128.891179,37.743066
128.913294,37.768098
128.909426,37.749774
128.824635,37.879243
128.824635,37.879243
128.883376,37.750062
128.868182,37.755897
129.161794,37.446219
129.334279,37.174768
129.170121,37.447588
129.333171,37.176403
129.04652,37.237176
129.17215,37.438557
129.331151,37.190933
129.336643,37.237906
129.163962,37.448297
129.334948,37.237682
129.170885,37.450896
129.335604,37.177078
129.161794,37.446219
129.333663,37.178785
129.146213,37.436091
129.332124,37.177703
129.162413,37.448023
129.336445,37.196949
129.056443,37.235097
129.162415,37.448024
129.166851,37.438828
129.170333,37.432376
129.155542,37.450265
129.175507,37.452795
128.322166,38.095147
128.5833119,38.20371043
128.572105,38.200457
128.343144,38.120591
128.575238,38.20188
128.591518,38.216486
128.599207,38.187876
128.574741,38.201387
128.572333,38.188301
128.588036,38.211031
128.599474,38.185849
128.57135,38.201401
128.58763,38.223773
128.583216,38.203421
128.591362,38.213446
128.604216,38.187674
128.5995885,38.18669493
128.5926006,38.21547912
128.573659,38.200117
128.595222,38.214097
128.579604,38.207313
128.581586,38.204353
128.5810342,38.20650124
128.6009956,38.2125904
128.575768,38.202035
128.572593,38.207293
128.57631,38.207879
128.5747992,38.2066319
128.582063,38.206529
128.578079,38.208384
128.576162,38.201554
128.580194,38.209776
128.574894,38.209776
128.579362,38.209055
128.580162,38.205686
128.565947,38.203453
128.5770862,38.20193857
128.581614,38.187378
128.584158,38.188641
128.581319,38.188513
128.565986,38.201989
128.5746346,38.18881953
128.579726,38.189597
128.574139,38.208028
128.584035,38.211348
128.575908,38.206301
128.576276,38.208797
128.593751,38.184967
128.573376,38.197204
128.593778,38.186288
128.5721084,38.2065851
128.585734,38.188502
128.585968,38.187789
128.5709554,38.20541866
128.598317,38.184777
128.592382,38.214978
128.575698,38.194392
128.568404,38.194392
128.582071,38.209833
128.570737,38.206463
128.5754715,38.18528069
128.571442,38.18833263
128.582416,38.211208
128.571542,38.188828
128.590015,38.185036
128.588174,38.203278
128.582794,38.202292
128.5866626,38.22217153
128.584612,38.184509
128.591438,38.186313
128.59719,38.188426
128.585243,38.211953
128.599448,38.192983
128.589521,38.215069
128.588141,38.208439
128.5869619,38.21008936
128.585945,38.210558
128.588134,38.206226
128.582533,38.206322
128.582894,38.206272
128.580773,38.207921
128.583284,38.207921
128.582609,38.207564
128.578733,38.201771
128.575445,38.201771
128.575445,38.203568
128.577627,38.202313
128.577827,38.202014
128.574026,38.200676
128.579936,38.192205
128.600373,38.190793
128.573866,38.187588
128.603777,38.188125
128.537507,38.164313
128.585226,38.226314
128.538417,38.164276
128.591097,38.213531
128.588365,38.208735
128.588141,38.208439
128.583373,38.211958
128.583563,38.208994
128.585029,38.203147
128.585085,38.203003
128.575835,38.200867
128.575894,38.200934
128.573356,38.201473
128.5745913,38.20567622
128.574571,38.205548
128.574572,38.205444
128.574588,38.204831
128.574604,38.204683
128.574809,38.204648
128.575089,38.204648
128.575042,38.204583
128.575216,38.204543
128.575148,38.204471
128.575294,38.204408
128.5746239,38.20485784
128.575562,38.204251
129.165233,37.441374
129.180022,37.438993
129.17826,37.439758
129.046397,37.236447
129.162958,37.466661
129.169798,37.444978
129.169557,37.438889
129.160973,37.44429
129.343051,37.23386
129.170974,37.444984
129.154864,37.450504
129.154968,37.450629
129.179048,37.433839
129.337071,37.175971
129.170501,37.437844
129.169467,37.444783
129.170862,37.443625
129.150047,37.438549
129.166573,37.44181
129.178835,37.439707
129.179253,37.439658
129.170312,37.442054
129.166005,37.440844
129.17923,37.44829
129.169396,37.444531
129.168958,37.443301
129.165907,37.435267
129.334662,37.174773
129.169836,37.445942
129.166632,37.435105
129.170206,37.433414
129.167158,37.444527
129.164368,37.447555
129.317975,37.286772
129.156339,37.43838
129.168646,37.445719
129.165028,37.435447
129.169005,37.441949
129.163424,37.450033
129.170554,37.433293
129.343191,37.236021
129.176006,37.441601
129.164806,37.447334
129.15714,37.455195
129.179255,37.447722
129.166328,37.440583
129.169375,37.443225
129.167431,37.440974
129.1563798,37.43841477
129.170379,37.432898
129.157499,37.454993
129.167224,37.440778
129.179089,37.43711
129.167314,37.439984
129.34495,37.236749
129.22763,37.380922
129.169765,37.446447
129.160276,37.447469
129.339647,37.194755
129.182268,37.435934
129.164867,37.435232
129.161402,37.444295
129.165504,37.455839
129.17003,37.446102
129.182253,37.434997
129.172351,37.442727
129.169144,37.450138
129.342704,37.235891
129.336326,37.173988
129.192237,37.441825
129.169327,37.431422
129.333185,37.175925
129.164945,37.444152
129.177428,37.447254
129.152073,37.440205
129.175925,37.435681
129.333185,37.175925
129.175691,37.449641
129.179571,37.442628
129.164886,37.444504
129.187445,37.423168
129.156315,37.455211
129.156522,37.455176
129.17591,37.447035
129.333639,37.176251
129.048044,37.236532
129.17006,37.444354
129.175199,37.443483
129.161713,37.443202
129.16729,37.443561
129.174087,37.448963
129.152746,37.435441
129.152746,37.435441
129.152746,37.435441
129.047639,37.236581
129.165685,37.464661
129.176935,37.434545
129.17452,37.44485
129.176255,37.451005
129.042432,37.221831
129.147568,37.436771
129.165685,37.464661
129.165685,37.464661
129.342576,37.232413
129.328908,37.193391
129.331159,37.190918
129.169875,37.447014
129.327001,37.187806
129.170254,37.447424
129.165862,37.449135
129.333094,37.176494
128.785518,37.942013
128.784051,37.941518
128.623955,38.078457
128.613579,38.073951
128.712894,38.025219
128.474647,37.190873
128.473433,37.184021
128.470524,37.188952
128.464394,37.190409
128.467072,37.182595
128.463821,37.190574
128.48168,37.18095
128.463795,37.182689
128.4602,37.178666
128.458054,37.177557
128.459496,37.177587
128.440863,37.182362
128.321815,37.178447
128.328814,37.234297
128.330276,37.236158
128.268448,37.268422
128.468907,37.180713
128.473558,37.184281
128.473558,37.184281
128.455277,37.178379
128.467887,37.179591
128.265844,37.27159
128.471959,37.18244
128.4706,37.1773
128.475521,37.175731
128.47598,37.17545
128.475039,37.172579
128.476504,37.172762
128.475554,37.188229
128.4777,37.1843
128.474021,37.188064
128.470521,37.188574
128.465018,37.185559
128.465866,37.17886
128.462986,37.181214
128.464355,37.182119
128.4647465,37.18292146
128.46503,37.182071
128.463091,37.181736
128.463802,37.185699
128.464461,37.186597
128.457681,37.17927
128.457511,37.179082
128.457882,37.178954
128.478486,37.18163
128.478387,37.174899
128.485359,37.183891
128.485359,37.183891
128.45538,37.169142
128.829817,37.128994
128.468613,37.180507
128.475263,37.188618
128.479539,37.171822
128.475022,37.19143
128.475263,37.188618
128.478995,37.173095
128.47494,37.190971
128.458623,37.176672
128.475347,37.19124
128.475604,37.190878
128.4751626,37.18721418
128.474592,37.187476
128.464179,37.18476
128.464327,37.184895
128.4594,37.1752
128.4592,37.1753
128.485359,37.183891
128.485359,37.183891
128.485359,37.183891
128.480196,37.183245
128.480052,37.174577
128.480511,37.174242
128.480241,37.174315
128.474399,37.176402
128.508432,37.200114
128.837296,37.138755
128.837296,37.138755
128.837296,37.138755
128.815627,37.146998
128.828062,37.128015
128.828062,37.128015
128.828062,37.128015
128.828062,37.128015
128.269791,37.271771
128.266627,37.27313
128.265205,37.269492
128.475372,37.187942
128.475372,37.187942
128.472805,37.188204
128.473075,37.188086
128.472782,37.188087
128.478107,37.175099
128.478411,37.175124
128.478726,37.175159
128.471373,37.187904
128.464464,37.164979
128.474334,37.185954
127.954298,37.343762
127.960017,37.330166
127.959689,37.330554
127.954355,37.343059
127.93571,37.343537
127.953227,37.342166
127.949012,37.350536
127.943747,37.342099
127.962247,37.338836
127.9572,37.382303
127.941462,37.334313
127.939366,37.372906
127.94675,37.340461
127.943747,37.342099
127.95746,37.381925
127.944973,37.331764
127.945576,37.340343
127.932933,37.356457
127.950235,37.378588
127.950524,37.333848
127.939047,37.347855
127.940739,37.335285
127.943155,37.333097
127.953126,37.395737
127.937647,37.362362
127.939545,37.373879
127.94372,37.332548
127.951663,37.387545
127.932188,37.357061
127.937891,37.353567
127.950035,37.339651
127.831004,37.329286
127.933805,37.366028
127.830295,37.328276
127.950956,37.32827
127.956869,37.32912
127.898893,37.352216
127.943434,37.352381
127.938462,37.373834
127.942565,37.352236
127.953094,37.3743
127.829335,37.328464
127.942289,37.343901
127.948419,37.342047
127.948924,37.380489
127.936518,37.362659
127.791804,37.291783
127.942096,37.331862
127.954774,37.340725
127.93037,37.357051
127.957691,37.411454
127.95937,37.336906
127.940098,37.345828
127.948819,37.384345
127.815136,37.302419
127.829492,37.329104
127.833198,37.321675
127.937666,37.352819
127.950061,37.36809
127.827725,37.32729
127.929574,37.351175
127.932768,37.351294
127.95383,37.334751
127.941508,37.332826
127.92885,37.352995
127.928825,37.355238
127.930793,37.351122
127.963282,37.345459
127.928216,37.343046
127.939068,37.336105
127.929987,37.35578
128.472842,37.188691
128.47281,37.18897
128.471454,37.186389
128.472592,37.184736
128.472592,37.184736
128.473569,37.186002
128.467697,37.185287
128.469439,37.184838
128.47025,37.186592
128.469684,37.186072
128.47017,37.188242
128.469009,37.188102
128.470836,37.188446
128.470241,37.188701
128.462411,37.192075
128.462116,37.191815
128.456148,37.193938
128.455834,37.194128
128.455834,37.194128
